wallet_address,reward_morbius,balance_morbius
0x611f43004ec308dc84c964b813bfbda153bbae57,87003.279867435017665584,105288567.701573561878212462
0x479143834c0ec540e0924923383cdd8839b138a3,43447.636648713504325731,52578930.814235572467894131
0x442e1dc584697a635be1a3720bc0e33825d8bb11,39182.92302605609748542,47417911.716206649531328386
0xf54c17a6448107193e575be9a03c904031f81151,33057.711075850384244045,40005377.452114949295030448
0xffc2ead3e5ee3c2a0a3e413978ce2b104112910e,29289.193614002218106291,35444838.969876917507311025
0xae3a9849516b880f11fb9b8f7a1d2b3652450235,28424.149712663085183069,34397990.695768699512487936
0x9a2370f894ce1c59dde57ff7f8f50db2c0e5214c,28095.277810681564385086,34000000.51
0x8703b5e286d5735919a2b7bebf7ec4e205659a92,17012.655412859596501549,20588167.755855637140414904
0x8e51d64157ff036cbd8780bea03d3db0f1ed138c,16893.37396708728030491,20443817.191165709134832281
0x60445f1cd286a88631543ca1322bfe2070d50abc,16278.704769239813334372,19699964.320903303131010618
0x412184a37acecc178dcfb3863b47857d6dda60f4,15688.630498189887733922,18985875.439069653410601116
0x8fac73dede4e2d892a3a55e58ec24650e0844bd7,12999.796427240186681154,15731935.029594932431354828
0x322a429a6787935d591e0009adf2e53fc3b5d993,12469.139397174147407143,15089750.979504461698513551
0x88415ca1c25f70afd1c77ea330f3e33773f5d4ba,12468.312977782591954937,15088750.873368345238165775
0x25642b80eab29b9fa6c2d85182fbfe1ca5ff5a81,12394.975318787825093955,15000000.0
0x31ce17401633aba6883f6c2a125d8c683dc72c81,11787.965524634786480479,14265416.293448011227050899
0xc81788841f62ff8a66a51ff2b92f0e105d40c5ce,11207.043314970836661378,13562402.941597995407073069
0x3679f65f73e3a9fb724aaf453d660599a22cc05a,10742.311942950001875004,13000000.000000669779763255
0xaf66e601299f3d88d82734431629cf3fa9f41269,10652.504297095230928713,12891317.678884655958063379
0x4c71d16554eb0c57fcbe4abcf3cf7f3da683b0b7,10491.359398155614744247,12696305.311217381581800659
0x92480ff8d44bf8ba65dbfc0c9548400cc9f16326,10476.869876151745619275,12678770.558265627252523964
0x4ac099766fe60c408a6329ab02914022863b6d78,8921.954708914214157604,10797062.292722753104626708
0x23fc440ab0738a37c42e2f9dbb5f42fe3e6fb335,8345.95004798380222993,10100000.0
0x679fb60cd46306e1a922cdba11b796772a3eb0c3,8268.787505954418629195,10006620.376348280905851527
0x57a90f5c5c0b9df3dcaa3aea6321d6c1686f77c9,8263.31687919188339597,10000000.0
0xb4700d02e34e5abe7f1db690bde921b32850f1c4,8263.31687919188339597,10000000.0
0x3f8f210fb10204f0b24a52f287001124f9f51220,8263.31687919188339597,10000000.000000000000000001
0x832a7b248fa2978d00b702169f6722c6e58d622e,6610.653503353506716776,8000000.000000000000000001
